alternatifHadiseIstNo;boylam;enlem;gunlukTahminIstNo;il;ilPlaka;ilce;merkezId;oncelik;saatlikTahminIstNo;sondurumIstNo;yukseklik;aciklama;modelId;gps
;40.2133;37.9094;92101;Diyarbakır;21;Bağlar;92101;1;17280.0;17281;674;;86316;1
;40.6544;37.8308;92117;Diyarbakır;21;Bismil;92117;0;;18165;558;;85015;1
;40.07;38.3597;92109;Diyarbakır;21;Dicle;92109;0;;18323;879;;92862;1
;40.2027;37.8973;92101;Diyarbakır;21;Diyarbakır Havalimanı;92118;0;17280.0;17280;674;;85660;0
;39.766;38.267;92110;Diyarbakır;21;Ergani;92110;0;;17847;986;;90891;1
;40.0756;38.2506;92116;Diyarbakır;21;Eğil;92116;0;;18324;837;;90897;1
;40.4011;38.4114;92111;Diyarbakır;21;Hani;92111;0;;18325;907;;93525;1
;40.7792;38.2506;92112;Diyarbakır;21;Hazro;92112;0;;18326;1000;;90913;1
;40.2027;37.8973;92101;Diyarbakır;21;Kayapınar;92102;0;17280.0;19375;0;;85660;1
;40.5086;38.2917;92105;Diyarbakır;21;Kocaköy;92105;0;;18328;966;;91562;1
;41.01;38.5042;92113;Diyarbakır;21;Kulp;92113;0;;18329;1150;;94848;1
;40.6447;38.4531;92114;Diyarbakır;21;Lice;92114;0;;18163;954;;94185;1
;41.0081;38.1328;92115;Diyarbakır;21;Silvan;92115;0;;18164;804;;89608;1
;40.2328;37.9247;92101;Diyarbakır;21;Sur;92103;0;17280.0;17283;679;;86316;1
;40.2328;37.9247;92101;Diyarbakır;21;Yenişehir;92104;0;17280.0;19916;0;;86316;1
;39.4644;38.1371;92106;Diyarbakır;21;Çermik;92106;0;;17874;695;;89574;1
;39.3072;38.21;92108;Diyarbakır;21;Çüngüş;92108;0;;18322;1036;;90225;1
;40.4111;37.7325;92107;Diyarbakır;21;Çınar;92107;0;;18321;650;;83700;1
