alternatifHadiseIstNo;boylam;enlem;gunlukTahminIstNo;il;ilPlaka;ilce;merkezId;oncelik;saatlikTahminIstNo;sondurumIstNo;yukseklik;aciklama;modelId;gps
;32.86370000000001;39.9727;90601;Ankara;6;Keçiören;90601;1;17130;17130;891;;115627;1
;40.2133;37.9094;92101;Diyarbakır;21;Bağlar;92101;1;17280;17281;674;;86316;1
;42.1625;38.475;91301;Bitlis;13;Merkez;91301;1;17208;17208;1789;;94219;1
;29.0921;37.762;92001;Denizli;20;Pamukkale;92001;1;17237;17237;425;;83448;1
;29.9173;40.7663;94101;Kocaeli;41;İzmit;94101;1;17066;17066;0;;127352;1
;39.5408;39.1058;96201;Tunceli;62;Merkez;96201;1;17165;17165;981;;103331;1
;29.0133;40.2308;91601;Bursa;16;Osmangazi;91601;1;17116;17116;100;;119472;1
;27.2178;41.7382;93901;Kırklareli;39;Merkez;93901;1;17052;17052;232;;141702;1
;34.1561;39.1639;94001;Kırşehir;40;Merkez;94001;1;17160;17160;1007;;103866;1
;39.7649;40.9985;96101;Trabzon;61;Ortahisar;96101;1;17038;17037;39;;130846;1
;31.7779;41.4492;96701;Zonguldak;67;Merkez;96701;1;17022;17022;135;;137218;1
;32.3569;41.6248;97401;Bartın;74;Merkez;97401;1;17020;17020;33;;139851;1
;37.002;39.7437;95801;Sivas;58;Merkez;95801;1;17090;17090;1294;;112444;1
;26.3993;40.141;91701;Çanakkale;17;Merkez;91701;1;17112;17112;6;;118104;1
;30.5502;39.7656;92601;Eskişehir;26;Odunpazarı;92601;1;17126;17126;801;;112956;1
;41.8187;41.1752;90801;Artvin;8;Merkez;90801;1;17045;17045;613;;133511;1
;44.0523;39.9227;97601;Iğdır;76;Merkez;97601;1;17100;17100;856;;115221;1
;34.6411479;36.81203;93301;Mersin;33;Akdeniz;93301;1;17340;17340;7;;69817;1
;27.4965;40.9585;95901;Tekirdağ;59;Süleymanpaşa;95901;1;17056;17056;4;;129918;1
;37.8858;40.9838;95201;Ordu;52;Altınordu;95201;1;17033;17033;5;;130804;1
;33.9987;38.3705;96801;Aksaray;68;Merkez;96801;1;17192;17192;970;;92727;1
;31.6022;40.7329;91401;Bolu;14;Merkez;91401;1;17070;17070;743;;126734;1
;30.294;37.722;91501;Burdur;15;Merkez;91501;1;17238;17238;957;;82820;1
;36.2829;36.3615;93101;Hatay;31;Antakya;93101;1;17372;17372;82;;63303;1
;30.7679;37.7848;93201;Isparta;32;Merkez;93201;1;17240;17240;997;;84141;1
;34.6795;37.9587;95101;Niğde;51;Merkez;95101;1;17250;17250;1211;;86848;1
